453, 1363
decrease 10 2
decrease 9 2
decrease 8 2
decrease 7 2
decrease 6 2
decrease 5 2
square 4 4
decrease 16 2
decrease 15 2
decrease 14 2
decrease 13 2
decrease 12 2
double 11 7
decrease 22 2
decrease 21 2
decrease 20 2
decrease 19 2
decrease 18 2
double 17 10
decrease 34 2
decrease 33 2
decrease 32 2
decrease 31 2
decrease 30 2
decrease 29 2
decrease 28 2
decrease 27 2
decrease 26 2
decrease 25 2
decrease 24 2
double 23 13
decrease 46 2
decrease 45 2
decrease 44 2
decrease 43 2
decrease 42 2
decrease 41 2
decrease 40 2
decrease 39 2
decrease 38 2
decrease 37 2
decrease 36 2
double 35 19
decrease 70 2
decrease 69 2
decrease 68 2
decrease 67 2
decrease 66 2
decrease 65 2
decrease 64 2
decrease 63 2
decrease 62 2
decrease 61 2
decrease 60 2
decrease 59 2
decrease 58 2
decrease 57 2
decrease 56 2
decrease 55 2
decrease 54 2
decrease 53 2
decrease 52 2
decrease 51 2
decrease 50 2
decrease 49 2
decrease 48 2
double 47 25
decrease 94 2
decrease 93 2
decrease 92 2
decrease 91 2
decrease 90 2
decrease 89 2
decrease 88 2
decrease 87 2
decrease 86 2
decrease 85 2
decrease 84 2
decrease 83 2
decrease 82 2
decrease 81 2
decrease 80 2
decrease 79 2
decrease 78 2
decrease 77 2
decrease 76 2
decrease 75 2
decrease 74 2
decrease 73 2
decrease 72 2
double 71 37
decrease 142 2
decrease 141 2
decrease 140 2
decrease 139 2
decrease 138 2
decrease 137 2
decrease 136 2
decrease 135 2
decrease 134 2
decrease 133 2
decrease 132 2
decrease 131 2
decrease 130 2
decrease 129 2
decrease 128 2
decrease 127 2
decrease 126 2
decrease 125 2
decrease 124 2
decrease 123 2
decrease 122 2
decrease 121 2
decrease 120 2
decrease 119 2
decrease 118 2
decrease 117 2
decrease 116 2
decrease 115 2
decrease 114 2
decrease 113 2
decrease 112 2
decrease 111 2
decrease 110 2
decrease 109 2
decrease 108 2
decrease 107 2
decrease 106 2
decrease 105 2
decrease 104 2
decrease 103 2
decrease 102 2
decrease 101 2
decrease 100 2
decrease 99 2
decrease 98 2
decrease 97 2
decrease 96 2
double 95 49
decrease 190 2
decrease 189 2
decrease 188 2
decrease 187 2
decrease 186 2
decrease 185 2
decrease 184 2
decrease 183 2
decrease 182 2
decrease 181 2
decrease 180 2
decrease 179 2
decrease 178 2
decrease 177 2
decrease 176 2
decrease 175 2
decrease 174 2
decrease 173 2
decrease 172 2
decrease 171 2
decrease 170 2
decrease 169 2
decrease 168 2
decrease 167 2
decrease 166 2
decrease 165 2
decrease 164 2
decrease 163 2
decrease 162 2
decrease 161 2
decrease 160 2
decrease 159 2
decrease 158 2
decrease 157 2
decrease 156 2
decrease 155 2
decrease 154 2
decrease 153 2
decrease 152 2
decrease 151 2
decrease 150 2
decrease 149 2
decrease 148 2
decrease 147 2
decrease 146 2
decrease 145 2
decrease 144 2
double 143 73
decrease 286 2
decrease 285 2
decrease 284 2
decrease 283 2
decrease 282 2
decrease 281 2
